Data Counter, Data Time, Angle, Counter, Left Encoder Counts, Right Encoder Counts, Bumper Byte, Desired Heading
197, 6.186270, 30.549, 222.751, 26695, -5930, 00000000, 30.87315798401501
198, 6.217517, 30.549, 223.877, 26695, -5930, 00000000, 30.87315798401501
199, 6.248813, 30.549, 225.002, 26695, -5930, 00000000, 30.87315798401501
200, 6.280028, 30.549, 226.127, 26695, -5930, 00000000, 30.87315798401501
201, 6.311264, 30.549, 227.252, 26695, -5930, 00000000, 30.87315798401501
202, 6.342546, 30.549, 228.377, 26695, -5930, 00000000, 30.87315798401501
203, 6.373754, 30.549, 229.501, 26695, -5930, 00000000, 30.87315798401501
204, 6.405017, 30.549, 230.627, 26695, -5930, 00000000, 30.87315798401501
205, 6.436301, 30.549, 231.752, 26695, -5930, 00000000, 30.87315798401501
206, 6.467563, 30.549, 232.877, 26695, -5930, 00000000, 30.87315798401501
207, 6.498804, 30.549, 234.002, 26695, -5930, 00000000, 30.87315798401501
208, 6.530038, 30.549, 235.126, 26695, -5930, 00000000, 30.87315798401501
209, 6.561263, 30.549, 236.252, 26695, -5930, 00000000, 30.87315798401501
210, 6.592511, 30.549, 237.377, 26695, -5930, 00000000, 30.87315798401501
211, 6.623793, 30.549, 238.502, 26695, -5930, 00000000, 30.87315798401501
212, 6.655025, 30.549, 239.627, 26695, -5930, 00000000, 30.87315798401501
213, 6.686255, 30.549, 240.751, 26695, -5930, 00000000, 30.87315798401501
214, 6.717501, 30.549, 241.877, 26695, -5930, 00000000, 30.87315798401501
215, 6.748806, 30.549, 243.002, 26695, -5930, 00000000, 30.87315798401501
216, 6.780023, 30.549, 244.126, 26695, -5930, 00000000, 30.87315798401501
217, 6.811253, 30.549, 245.252, 26695, -5930, 00000000, 30.87315798401501
218, 6.842511, 30.549, 246.377, 26695, -5930, 00000000, 30.87315798401501
219, 6.873764, 30.549, 247.501, 26695, -5930, 00000000, 30.87315798401501
220, 6.905044, 30.549, 248.626, 26695, -5930, 00000000, 30.87315798401501
221, 6.936244, 30.549, 249.751, 26695, -5930, 00000000, 30.87315798401501
222, 6.967490, 30.549, 250.877, 26695, -5930, 00000000, 30.87315798401501
223, 6.998764, 30.549, 252.001, 26695, -5930, 00000000, 30.87315798401501
224, 7.029967, 30.549, 253.126, 26695, -5930, 00000000, 30.87315798401501
225, 7.061291, 30.549, 254.253, 26695, -5930, 00000000, 30.87315798401501
226, 7.092537, 30.549, 255.376, 26695, -5930, 00000000, 30.87315798401501
227, 7.123748, 30.549, 256.501, 26695, -5930, 00000000, 30.87315798401501
228, 7.154998, 30.549, 257.626, 26695, -5930, 00000000, 30.87315798401501
229, 7.186259, 30.549, 258.751, 26695, -5930, 00000000, 30.87315798401501
230, 7.217527, 30.549, 259.876, 26695, -5930, 00000000, 30.87315798401501
231, 7.248754, 30.549, 261.001, 26695, -5930, 00000000, 30.87315798401501
232, 7.279960, 30.549, 262.125, 26695, -5930, 00000000, 30.87315798401501
233, 7.311232, 30.549, 263.251, 26695, -5930, 00000000, 30.87315798401501
234, 7.342525, 30.549, 264.376, 26695, -5930, 00000000, 30.87315798401501
235, 7.373747, 30.549, 265.500, 26695, -5930, 00000000, 30.87315798401501
236, 7.404984, 30.549, 266.626, 26695, -5930, 00000000, 30.87315798401501
237, 7.436209, 30.549, 267.750, 26695, -5930, 00000000, 30.87315798401501
238, 7.467516, 30.549, 268.876, 26695, -5930, 00000000, 30.87315798401501
239, 7.498747, 30.549, 270.001, 26695, -5930, 00000000, 30.87315798401501
240, 7.529953, 30.549, 271.125, 26695, -5930, 00000000, 30.87315798401501
241, 7.561252, 30.549, 272.251, 26695, -5930, 00000000, 30.87315798401501
242, 7.592496, 30.549, 273.376, 26695, -5930, 00000000, 30.87315798401501
243, 7.623743, 30.549, 274.500, 26695, -5930, 00000000, 30.87315798401501
244, 7.655002, 30.549, 275.625, 26695, -5930, 00000000, 30.87315798401501
245, 7.686220, 30.549, 276.750, 26695, -5930, 00000000, 30.87315798401501
246, 7.717509, 30.549, 277.876, 26695, -5930, 00000000, 30.87315798401501
247, 7.748743, 30.549, 279.000, 26695, -5930, 00000000, 30.87315798401501
248, 7.779981, 30.549, 280.125, 26695, -5930, 00000000, 30.87315798401501
249, 7.811262, 30.549, 281.250, 26695, -5930, 00000000, 30.87315798401501
250, 7.842481, 30.549, 282.376, 26695, -5930, 00000000, 30.87315798401501
251, 7.873711, 30.549, 283.500, 26695, -5930, 00000000, 30.87315798401501
252, 7.905014, 30.549, 284.626, 26695, -5930, 00000000, 30.87315798401501
253, 7.936233, 30.549, 285.750, 26695, -5930, 00000000, 30.87315798401501
254, 7.967461, 30.549, 286.875, 26695, -5930, 00000000, 30.87315798401501
255, 7.998702, 30.549, 288.000, 26695, -5930, 00000000, 30.87315798401501
256, 8.029966, 30.549, 289.124, 26695, -5930, 00000000, 30.87315798401501
257, 8.061210, 30.549, 290.250, 26695, -5930, 00000000, 30.87315798401501
258, 8.092500, 30.549, 291.375, 26695, -5930, 00000000, 30.87315798401501
259, 8.123744, 30.549, 292.500, 26695, -5930, 00000000, 30.87315798401501
260, 8.154969, 30.549, 293.625, 26695, -5930, 00000000, 30.87315798401501
261, 8.186187, 30.549, 294.750, 26695, -5930, 00000000, 30.87315798401501
262, 8.217499, 30.549, 295.875, 26695, -5930, 00000000, 30.87315798401501
263, 8.248696, 30.549, 296.999, 26695, -5930, 00000000, 30.87315798401501
264, 8.279930, 30.549, 298.126, 26695, -5930, 00000000, 30.87315798401501
265, 8.311219, 30.549, 299.249, 26695, -5930, 00000000, 30.87315798401501
266, 8.342472, 30.549, 300.375, 26695, -5930, 00000000, 30.87315798401501
267, 8.373713, 30.549, 301.499, 26695, -5930, 00000000, 30.87315798401501
268, 8.404966, 30.549, 302.626, 26695, -5930, 00000000, 30.87315798401501
269, 8.436176, 30.549, 303.751, 26695, -5930, 00000000, 30.87315798401501
270, 8.467475, 30.549, 304.875, 26695, -5930, 00000000, 30.87315798401501
271, 8.498702, 30.549, 306.001, 26695, -5930, 00000000, 30.87315798401501
272, 8.529905, 30.549, 307.125, 26695, -5930, 00000000, 30.87315798401501
273, 8.561211, 30.549, 308.251, 26695, -5930, 00000000, 30.87315798401501
274, 8.592453, 30.549, 309.376, 26695, -5930, 00000000, 30.87315798401501
275, 8.623695, 30.549, 310.501, 26695, -5930, 00000000, 30.87315798401501
276, 8.654953, 30.549, 311.626, 26695, -5930, 00000000, 30.87315798401501
277, 8.686201, 30.549, 312.750, 26695, -5930, 00000000, 30.87315798401501
278, 8.717423, 30.549, 313.876, 26695, -5930, 00000000, 30.87315798401501
